Ref,Val,Package,PosX,PosY,Rot,Side
"C217","1uF","C_0402_1005Metric",171.990000,-174.770000,90.000000,bottom
"C218","1uF","C_0402_1005Metric",169.292500,-189.330000,90.000000,bottom
"C219","1uF","C_0402_1005Metric",169.980000,-159.710000,-90.000000,bottom
"C220","1uF","C_0402_1005Metric",191.618749,-174.823749,90.000000,bottom
"C221","1uF","C_0402_1005Metric",169.292500,-191.840000,-90.000000,bottom
"C222","1uF","C_0402_1005Metric",169.990000,-161.990000,90.000000,bottom
"C223","1uF","C_0402_1005Metric",191.598749,-172.543749,-90.000000,bottom
"C224","1uF","C_0402_1005Metric",169.272500,-194.140000,90.000000,bottom
"C225","1uF","C_0402_1005Metric",175.410000,-162.200000,90.000000,bottom
"C226","1uF","C_0402_1005Metric",187.950000,-176.700000,180.000000,bottom
"C227","1uF","C_0402_1005Metric",174.600000,-192.990000,90.000000,bottom
"C228","1uF","C_0402_1005Metric",191.242500,-162.085000,-90.000000,bottom
"C229","1uF","C_0402_1005Metric",175.510000,-177.570000,90.000000,bottom
"C230","1uF","C_0402_1005Metric",175.670000,-193.000000,90.000000,bottom
"C234","0.1uF","C_0402_1005Metric",184.589000,-154.714000,-90.000000,bottom
"C235","0.1uF","C_0402_1005Metric",185.730000,-168.030000,-90.000000,bottom
"C236","0.1uF","C_0402_1005Metric",184.330000,-181.700000,-90.000000,bottom
"C240","1uF","C_0402_1005Metric",185.674000,-154.714000,-90.000000,bottom
"C241","1uF","C_0402_1005Metric",184.700000,-168.020000,-90.000000,bottom
"C242","1uF","C_0402_1005Metric",185.360000,-181.700000,-90.000000,bottom
"C243","100uF","C_1206_3216Metric",187.524000,-153.662000,-90.000000,bottom
"C244","100uF","C_1206_3216Metric",187.580000,-168.050000,-90.000000,bottom
"C245","100uF","C_1206_3216Metric",187.290000,-181.910000,-90.000000,bottom
"C246","1uF","C_0402_1005Metric",216.017500,-192.122500,90.000000,bottom
"C247","1uF","C_0402_1005Metric",216.000000,-178.382500,90.000000,bottom
"C248","1uF","C_0402_1005Metric",215.937500,-164.502500,90.000000,bottom
"C249","1uF","C_0402_1005Metric",215.997500,-189.852500,-90.000000,bottom
"C250","1uF","C_0402_1005Metric",216.000000,-176.162500,-90.000000,bottom
"C251","1uF","C_0402_1005Metric",215.917500,-162.232500,-90.000000,bottom
"C252","1uF","C_0402_1005Metric",215.997500,-187.202500,90.000000,bottom
"C253","1uF","C_0402_1005Metric",215.980000,-173.472500,90.000000,bottom
"C254","1uF","C_0402_1005Metric",215.917500,-159.602500,90.000000,bottom
"C255","1uF","C_0402_1005Metric",216.017500,-184.932500,-90.000000,bottom
"C256","1uF","C_0402_1005Metric",215.980000,-171.182500,-90.000000,bottom
"C257","1uF","C_0402_1005Metric",215.897500,-157.302500,-90.000000,bottom
"C258","1uF","C_0402_1005Metric",210.120000,-187.350000,-90.000000,bottom
"C259","1uF","C_0402_1005Metric",209.525000,-173.325000,-90.000000,bottom
"C260","1uF","C_0402_1005Metric",210.520000,-158.400000,-90.000000,bottom
"C261","1uF","C_0402_1005Metric",209.070000,-187.350000,-90.000000,bottom
"C262","1uF","C_0402_1005Metric",210.580000,-173.325000,-90.000000,bottom
"C263","1uF","C_0402_1005Metric",209.520000,-158.400000,-90.000000,bottom
"C267","0.1uF","C_0402_1005Metric",207.572000,-195.303000,90.000000,bottom
"C268","0.1uF","C_0402_1005Metric",207.020000,-181.830000,90.000000,bottom
"C269","0.1uF","C_0402_1005Metric",207.005000,-167.990000,90.000000,bottom
"C273","1uF","C_0402_1005Metric",206.502000,-195.298000,90.000000,bottom
"C274","1uF","C_0402_1005Metric",205.920000,-181.830000,90.000000,bottom
"C275","1uF","C_0402_1005Metric",205.900000,-167.990000,90.000000,bottom
"C276","100uF","C_1206_3216Metric",209.312000,-195.303000,90.000000,bottom
"C277","100uF","C_1206_3216Metric",208.950000,-181.810000,90.000000,bottom
"C278","100uF","C_1206_3216Metric",208.950000,-168.040000,90.000000,bottom
"J20","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Right",234.675000,-91.340000,180.000000,bottom
"LOGO1","256 Foundation Logo","256foundation_logo",161.740000,-141.940000,180.000000,bottom
"R12","33","R_0402_1005Metric",190.990000,-185.640000,180.000000,bottom
"R13","33","R_0402_1005Metric",190.990000,-186.600000,180.000000,bottom
"R14","33","R_0402_1005Metric",190.990000,-187.560000,180.000000,bottom
"R15","33","R_0402_1005Metric",190.990000,-188.520000,180.000000,bottom
"R16","33","R_0402_1005Metric",190.990000,-189.480000,180.000000,bottom
"R17","2k","R_0402_1005Metric",195.100000,-189.475000,0.000000,bottom
"R18","10k","R_0402_1005Metric",209.680000,-161.970000,90.000000,bottom
"R56","2k","R_0402_1005Metric",132.900000,-189.900000,-90.000000,bottom
"R57","33","R_0402_1005Metric",127.484000,-181.380000,-90.000000,bottom
"R58","33","R_0402_1005Metric",128.488000,-181.380000,-90.000000,bottom
"R59","33","R_0402_1005Metric",129.492000,-181.380000,-90.000000,bottom
"R60","33","R_0402_1005Metric",130.496000,-181.380000,-90.000000,bottom
"R62","33","R_0402_1005Metric",131.500000,-181.380000,-90.000000,bottom
"R63","33","R_0402_1005Metric",145.300000,-172.760000,180.000000,bottom
"R64","1k","R_0402_1005Metric",124.250000,-162.575000,90.000000,bottom
"R65","33","R_0402_1005Metric",145.300000,-173.766000,180.000000,bottom
"R75","33","R_0402_1005Metric",145.300000,-174.772000,180.000000,bottom
"R79","33","R_0402_1005Metric",145.300000,-175.778000,180.000000,bottom
"R83","33","R_0402_1005Metric",145.300000,-176.784000,180.000000,bottom
"R85","2k","R_0402_1005Metric",144.500000,-169.725000,90.000000,bottom
"R86","2k","R_0402_1005Metric",125.350000,-162.575000,-90.000000,bottom
"R87","2k","R_0402_1005Metric",166.350000,-177.875000,-90.000000,bottom
"R88","33","R_0402_1005Metric",166.860000,-191.284000,0.000000,bottom
"R89","33","R_0402_1005Metric",166.860000,-190.266000,0.000000,bottom
"R90","33","R_0402_1005Metric",166.860000,-189.248000,0.000000,bottom
"R91","33","R_0402_1005Metric",166.860000,-188.230000,0.000000,bottom
